COMPONENT;KEY;EN;NL;
scorecard;De huisnummertoevoeging zoals deze door de gemeente aan het object is toegekend.;The house number addition as designated by the municipality.;De huisnummertoevoeging zoals deze door de gemeente aan het object is toegekend.;
scorecard;De juridische status van de onderneming.;The legal status of a company.;De juridische status van de onderneming.;
scorecard;De naam van de entiteit zoals vastgelegd in de statuten.;The name of the entity according to the articles of association.;De naam van de entiteit zoals vastgelegd in de statuten.;
scorecard;De naam waaronder de onderneming wordt gedreven.;The name under which a company is run.;De naam waaronder de onderneming wordt gedreven.;
scorecard;De numerieke aanduiding zoals deze door de gemeente aan het object is toegekend.;The numeric part of the object as designated by the municipality.;De numerieke aanduiding zoals deze door de gemeente aan het object is toegekend.;
scorecard;De numerieke aanduiding zoals vastgesteld voor een Nederlandse postbus.;The numeric part as designated for a Dutch Post Office Box.;De numerieke aanduiding zoals vastgesteld voor een Nederlandse postbus.;
scorecard;De officiële codering van PostNL voor een Nederlands postadres, bestaande uit een numeriek deel en een alfabetisch deel.;The official coding of PostNL for a Dutch postal address, consisting of a numeric part and an alphabetic part.;De officiële codering van PostNL voor een Nederlands postadres, bestaande uit een numeriek deel en een alfabetisch deel.;
scorecard;De officiële door de gemeente vastgestelde gemeentenaam.;The official municipality name as designated by the municipality.;De officiële door de gemeente vastgestelde gemeentenaam.;
scorecard;De officiële door de gemeente vastgestelde naam van een straat.;The official registered name of a street as determined by the city council.;De officiële door de gemeente vastgestelde naam van een straat.;
scorecard;De SBI-code (Standaard Bedrijfsindeling 2008) is een code die de economische activiteit van een rechtspersoon aanduidt.;The SBI-code (Standaard Bedrijfsindeling 2008) is a code that indicates the economic activities of the entity.;De SBI-code (Standaard Bedrijfsindeling 2008) is een code die de economische activiteit van een rechtspersoon aanduidt.;
scorecard;De startdatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.;The date of the start of the financial period being reported, according to ISO 8601 with the format: yyyy-mm-dd.;De startdatum van de financiële periode waarover wordt gerapporteerd volgens ISO 8601 in het formaat: jjjj-mm-dd.;
scorecard;De verzameling namen die, gescheiden door spaties, aan de geslachtsnaam voorafgaat. Indien aanwezig, wordt het predikaat afgesplitst.;The collection of names, separated by spaces, which precede the family name stripped of predicates.;De verzameling namen die, gescheiden door spaties, aan de geslachtsnaam voorafgaat. Indien aanwezig, wordt het predikaat afgesplitst.;
scorecard;Deelnemingen in groepsmaatschappijen;Investments in group companies;Deelnemingen in groepsmaatschappijen;
scorecard;Deelnemingen in overige verbonden maatschappijen;Investments in other relates parties;Deelnemingen in overige verbonden maatschappijen;
scorecard;Deelnemingen, toelichting;Participating interests, disclosure;Deelnemingen, toelichting;
scorecard;Deze tuple is bedoeld voor het opnemen van de contactgegevens van de contactpersoon van deze rapportage. Deze contactpersoon kan van de organisatie zelf zijn of van haar intermediair.;The intention of this tuple is to record the contact details of the contact for this document. This contact can be a person from the organisation itself or from its intermediary.;Deze tuple is bedoeld voor het opnemen van de contactgegevens van de contactpersoon van deze rapportage. Deze contactpersoon kan van de organisatie zelf zijn of van haar intermediair.;
scorecard;Dit concept dient voor het classificeren van de contactpersoon van deze rapportage in de categorie 'ondernemer' of 'intermediair'.;The purpose of this concept is to categorise the contact for this report into either 'Intermediary' or 'Entrepreneur'.;Dit concept dient voor het classificeren van de contactpersoon van deze rapportage in de categorie 'ondernemer' of 'intermediair'.;
scorecard;Dividend (met uitzondering van deelnemingsdividend);Dividend except participating interest dividend;Dividend (met uitzondering van deelnemingsdividend);
scorecard;Een nadere aanduiding bij de adresgegevens om de plaats aan te duiden waar de persoon dan wel een organisatie bereikbaar is.;More information on address to identify the location where the person or organisation is located.;Een nadere aanduiding bij de adresgegevens om de plaats aan te duiden waar de persoon dan wel een organisatie bereikbaar is.;
scorecard;Effecten;Securities;Effecten;
scorecard;Effecten, grondslag;Securities, policy;Effecten, grondslag;
scorecard;Effecten, toelichting;Securities, disclosure;Effecten, toelichting;
scorecard;Effecten, totaal;Securities, total;Effecten, totaal;
scorecard;Eiergeld;Egg money revenue;Eiergeld;
scorecard;Eigen vermogen;Equity;Eigen vermogen;
scorecard;Eigen vermogen [titel];Equity [title];Eigen vermogen [titel];
scorecard;Eigen vermogen, begin van de periode;Equity, start of the period;Eigen vermogen, begin van de periode;
scorecard;Eigen vermogen, einde van de periode;Equity, end of the period;Eigen vermogen, einde van de periode;
scorecard;Eigen vermogen, grondslag;Equity, policy;Eigen vermogen, grondslag;
scorecard;Eigen vermogen, ingehouden deel van de jaarwinst;Equity, withheld part of the result;Eigen vermogen, ingehouden deel van de jaarwinst;
scorecard;Eigen vermogen, toelichting;Equity, disclosure;Eigen vermogen, toelichting;
scorecard;Eigen vermogen, totaal;Equity, total;Eigen vermogen, totaal;
scorecard;Einddatum huur- of pachtcontract;Closing date rent contracts;Einddatum huur- of pachtcontract;
scorecard;Einddatum leasecontract;Closing date contracts operating lease;Einddatum leasecontract;
scorecard;Einddatum rapportageperiode;End date for financial period;Einddatum rapportageperiode;
scorecard;Elektrakosten;Electricity costs;Elektrakosten;
scorecard;E-mailadres;Email address;E-mailadres;
scorecard;E-mailadres intermediair;Email address intermediary;E-mailadres intermediair;
scorecard;E-mailadres, volledig;Email address, full;E-mailadres, volledig;
scorecard;Energiekosten;Energy costs;Energiekosten;
scorecard;Exploitatiekosten;Operational expenses;Exploitatiekosten;
scorecard;Financiële baten en lasten, toelichting;Financial income and expense, disclosure;Financiële baten en lasten, toelichting;
scorecard;Financiële baten en lasten, toelichting [titel];Financial income and expense, disclosure [title];Financiële baten en lasten, toelichting [titel];
scorecard;Financiële instrumenten, toelichting;Financial instruments, disclosure;Financiële instrumenten, toelichting;
scorecard;Financiële vaste activa;Financial assets;Financiële vaste activa;
scorecard;Financiële vaste activa [titel];Financial assets [title];Financiële vaste activa [titel];
scorecard;Financiële vaste activa, begin van de periode;Financial assets, start of the period;Financiële vaste activa, begin van de periode;
scorecard;Financiële vaste activa, einde van de periode;Financial assets, end of the period;Financiële vaste activa, einde van de periode;
scorecard;Financiële vaste activa, grondslag;Financial assets, policy;Financiële vaste activa, grondslag;
scorecard;Financiële vaste activa, toelichting;Financial assets, disclosure;Financiële vaste activa, toelichting;
scorecard;Financiële vaste activa, toelichting [titel];Financial assets, disclosure [title];Financiële vaste activa, toelichting [titel];
scorecard;Financiële vaste activa, totaal;Financial assets, total;Financiële vaste activa, totaal;
scorecard;Franchisefee;Franchise fee;Franchisefee;
scorecard;Fusies en overnames, toelichting;Mergers and acquisitions, disclosure;Fusies en overnames, toelichting;
scorecard;Gaskosten;Gas costs;Gaskosten;
scorecard;Geactiveerde productie voor het eigen bedrijf;Capitalised production costs;Geactiveerde productie voor het eigen bedrijf;
scorecard;Geactiveerde rentelasten gedurende de periode, toelichting;Interest expenses capitalised during the period, amount;Geactiveerde rentelasten gedurende de periode, toelichting;
scorecard;Gebeurtenissen na balansdatum;Subsequent events;Gebeurtenissen na balansdatum;
scorecard;Geboortedatum;Date of birth;Geboortedatum;
scorecard;Gebouw (eventueel inclusief terrein) J/N;Building indicator Y/N;Gebouw (eventueel inclusief terrein) J/N;
scorecard;Gebruiksquotum inclusief lease (KG);Milk usage quotum;Gebruiksquotum inclusief lease (KG);
scorecard;Geleverde kg melk;Milk delivered;Geleverde kg melk;
scorecard;Gemiddeld aantal aanwezig stuks jongvee;Average number present young cattle;Gemiddeld aantal aanwezig stuks jongvee;
scorecard;Gemiddeld aantal aanwezige kalveren;Average number present calves;Gemiddeld aantal aanwezige kalveren;
scorecard;Gemiddeld aantal aanwezige melkgeiten;Average number present milk goats;Gemiddeld aantal aanwezige melkgeiten;
scorecard;Gemiddeld aantal aanwezige melkkoeien;Average number present milkcows;Gemiddeld aantal aanwezige melkkoeien;
scorecard;Gemiddeld aantal aanwezige opfokgeiten;Average number present breeding goats;Gemiddeld aantal aanwezige opfokgeiten;
scorecard;Gemiddeld aantal aanwezige vleesvarkens;Average number present porkers;Gemiddeld aantal aanwezige vleesvarkens;
scorecard;Gemiddeld aantal aanwezige zeugen;Average number present sows;Gemiddeld aantal aanwezige zeugen;
scorecard;Gemiddeld aantal kooihennen opgehokt per ronde;Average number of cage hens confined per round;Gemiddeld aantal kooihennen opgehokt per ronde;
scorecard;Gemiddeld aantal parelhoenders per ronde;Average number guinea fowls per round;Gemiddeld aantal parelhoenders per ronde;
scorecard;Gemiddeld aantal vleeseenden per ronde;Average number meat ducks per round;Gemiddeld aantal vleeseenden per ronde;
scorecard;Gemiddeld aantal vleeskalkoenen per ronde;Average number meat turkeys per round;Gemiddeld aantal vleeskalkoenen per ronde;
scorecard;Gemiddeld aantal vleeskuikens per ronde;Average number broilers per round;Gemiddeld aantal vleeskuikens per ronde;
scorecard;Gemiddeld aantal vleesvarkens op voergeld;Average number present porkers contracted;Gemiddeld aantal vleesvarkens op voergeld;
scorecard;Gemiddeld aantal werknemers;Average number of employees;Gemiddeld aantal werknemers;
scorecard;Gemiddeld aantal werknemers over de periode;Average number of employees during the period;Gemiddeld aantal werknemers over de periode;
scorecard;Gemiddeld aantal werknemers over de periode, toelichting;Average number of employees during the period, disclosure;Gemiddeld aantal werknemers over de periode, toelichting;
scorecard;Gemiddeld aantal werknemers over de periode, toelichting [titel];Average number of employees during the period, disclosure [title];Gemiddeld aantal werknemers over de periode, toelichting [titel];
scorecard;Gemiddeld aantal werknemers over de periode, totaal;Average number of employees during the period, total;Gemiddeld aantal werknemers over de periode, totaal;
scorecard;Gemiddeld aantal werknemers over de periode, werkzaam binnen Nederland;Average number of employees during the period, active within the Netherlands;Gemiddeld aantal werknemers over de periode, werkzaam binnen Nederland;
scorecard;Gemiddeld aantal werknemers over de periode, werkzaam buiten Nederland;Average number of employees during the period, active outside the Netherlands;Gemiddeld aantal werknemers over de periode, werkzaam buiten Nederland;
scorecard;Gemiddeld aantal werknemers, toelichting;Average number of employees during the period, disclosure;Gemiddeld aantal werknemers, toelichting;
scorecard;Gemiddeld aantal werknemers, werkzaam binnen Nederland;Average number of employees, active within the Netherlands;Gemiddeld aantal werknemers, werkzaam binnen Nederland;
scorecard;Gemiddeld aantal werknemers, werkzaam buiten Nederland;Average number of employees, active outside the Netherlands;Gemiddeld aantal werknemers, werkzaam buiten Nederland;
scorecard;Gemiddeld aantal zeugen op voergeld;Average number present sows contracted;Gemiddeld aantal zeugen op voergeld;
scorecard;Geplaatst kapitaal;Share capital issued;Geplaatst kapitaal;
scorecard;Gereed product en handelsgoederen;Finished and trade goods;Gereed product en handelsgoederen;
scorecard;Geslachtsnaam;Family name;Geslachtsnaam;
scorecard;Gestort en opgevraagd kapitaal;Paid-up and called-up share capital;Gestort en opgevraagd kapitaal;
scorecard;Gestort en opgevraagd kapitaal;Share capital;Gestort en opgevraagd kapitaal;
scorecard;Gestort en opgevraagd kapitaal, totaal;Share capital, total;Gestort en opgevraagd kapitaal, totaal;
scorecard;Gewasbeschermingskosten;Crop protection costs;Gewasbeschermingskosten;
scorecard;Gewassenverzekeringskosten;Crop insurance costs;Gewassenverzekeringskosten;
scorecard;Gezondheidszorgkosten;Healthcare costs;Gezondheidszorgkosten;
scorecard;GMO subsidie;GMO grant;GMO subsidie;
scorecard;Goodwill;Goodwill;Goodwill;
scorecard;Groepsverhoudingen;Group structure;Groepsverhoudingen;
scorecard;Groepsverhoudingen [titel];Group structure [title];Groepsverhoudingen [titel];
scorecard;Groepsverhoudingen, naam van het hoofd van de groep;Group structure, name of the ultimate parent;Groepsverhoudingen, naam van het hoofd van de groep;
scorecard;Groepsverhoudingen, woonplaats van het hoofd van de groep;Group structure, location of the ultimate parent;Groepsverhoudingen, woonplaats van het hoofd van de groep;
scorecard;Grond- en hulpstoffen;Raw materials and consumables;Grond- en hulpstoffen;
scorecard;Grondslagen voor de bepaling van het resultaat;Accounting policies for the income statement;Grondslagen voor de bepaling van het resultaat;
scorecard;Grondslagen voor de bepaling van het resultaat [titel];Accounting policies for the determining the result [title];Grondslagen voor de bepaling van het resultaat [titel];
scorecard;Grondslagen voor de bepaling van het resultaat [titel];Accounting policies for the income statement [title];Grondslagen voor de bepaling van het resultaat [titel];
scorecard;Grondslagen voor de waardering van activa;Assets, policy;Grondslagen voor de waardering van activa;
scorecard;Grondslagen voor de waardering van activa [titel];Assets, policy [title];Grondslagen voor de waardering van activa [titel];
scorecard;Grondslagen voor de waardering van activa en passiva;Accounting policies for the balance sheet;Grondslagen voor de waardering van activa en passiva;
scorecard;Grondslagen voor de waardering van activa en passiva [titel];Accounting policies for the balance sheet [title];Grondslagen voor de waardering van activa en passiva [titel];
scorecard;Grondslagen voor de waardering van passiva;Equity and liabilities, policy;Grondslagen voor de waardering van passiva;
scorecard;Grondslagen voor de waardering van passiva [titel];Equity and liabilities, policy [title];Grondslagen voor de waardering van passiva [titel];
scorecard;Grondslagen voor financiële verslaggeving;Accounting policies title;Grondslagen voor financiële verslaggeving;
scorecard;Handelscrediteuren;Trade payables;Handelscrediteuren;
scorecard;Handelscrediteuren 90+ dagen;Trade payables above ninety days;Handelscrediteuren 90+ dagen;
scorecard;Handelscrediteuren tot 30 dagen;Trade payables thirty days;Handelscrediteuren tot 30 dagen;
scorecard;Handelscrediteuren tot 60 dagen;Trade payables sixty days;Handelscrediteuren tot 60 dagen;
scorecard;Handelscrediteuren tot 90 dagen;Trade payables ninety days;Handelscrediteuren tot 90 dagen;
scorecard;Handelsdebiteuren;Trade receivables title;Handelsdebiteuren;
scorecard;Handelsdebiteuren 90+ dagen;Trade receivables above ninety days;Handelsdebiteuren 90+ dagen;
scorecard;Handelsdebiteuren nominaal;Trade receivables nominal;Handelsdebiteuren nominaal;
scorecard;Handelsdebiteuren tot 30 dagen;Trade receivables thirty days;Handelsdebiteuren tot 30 dagen;
scorecard;Handelsdebiteuren tot 60 dagen;Trade receivables sixty days;Handelsdebiteuren tot 60 dagen;
scorecard;Handelsdebiteuren tot 90 dagen;Trade receivables ninety days;Handelsdebiteuren tot 90 dagen;
scorecard;Handelsnaam van de onderneming;Trade name of the company;Handelsnaam van de onderneming;
scorecard;Handelsnamen;Business names;Handelsnamen;
scorecard;Herinvesteringsreserve;Reinvestment reserve;Herinvesteringsreserve;
scorecard;Herwaarderingsreserve;Revaluation reserve;Herwaarderingsreserve;
scorecard;Herwaarderingsreserve, begin van de periode;Revaluation reserve, start of the period;Herwaarderingsreserve, begin van de periode;
scorecard;Herwaarderingsreserve, einde van de periode;Revaluation reserve, end of the period;Herwaarderingsreserve, einde van de periode;
scorecard;Het adres waaronder een persoon of organisatie via het internet per elektronische post te bereiken is.;The address with which the person or organisation is contacted through the internet electronic mail.;Het adres waaronder een persoon of organisatie via het internet per elektronische post te bereiken is.;
scorecard;Het nummer waaronder een persoon of organisatie telefonisch te bereiken is, bestaande uit een netnummer en een abonneenummer.;The number on which a person or organisation can be reached by telephone, consisting of an area code and a subscriber number.;Het nummer waaronder een persoon of organisatie telefonisch te bereiken is, bestaande uit een netnummer en een abonneenummer.;
scorecard;Hoofdsom schuld;Capital sum borrowing arrangements;Hoofdsom schuld;
scorecard;Hoogst genoten opleiding;Highest education;Hoogst genoten opleiding;
scorecard;Hoogte inschrijving zekerheid;Value securities;Hoogte inschrijving zekerheid;
scorecard;HT convenant intermediair J/N;HT covenant intermediary;HT convenant intermediair J/N;
scorecard;Huisnummer;House number;Huisnummer;
scorecard;Huisnummer buitenland;House number abroad;Huisnummer buitenland;
scorecard;Huisnummer NL;House number NL;Huisnummer NL;
scorecard;Huisnummer toevoeging;House number addition;Huisnummer toevoeging;
scorecard;Huisvestingskosten;Accommodation costs;Huisvestingskosten;
scorecard;Huur- en pachtcontracten;Rent contracts;Huur- en pachtcontracten;
scorecard;Huur- en pachtcontracten;Rent contracts specification;Huur- en pachtcontracten;
scorecard;Huur- en pachtcontracten;Rent contracts title;Huur- en pachtcontracten;
scorecard;Huurdersinvesteringen;Lessees investments;Huurdersinvesteringen;
scorecard;Huurlasten;Rental costs;Huurlasten;
scorecard;Huursom per jaar huur- of pachtcontract;Rent costs yearly rent contracts;Huursom per jaar huur- of pachtcontract;
scorecard;Huurverplichtingen, toelichting;Rental obligation disclosure;Huurverplichtingen, toelichting;
scorecard;Identificatienummer;Identification number;Identificatienummer;
scorecard;Identificatienummer schuld;Identification number payables;Identificatienummer schuld;
scorecard;Identificatienummer vordering;Identification number receivables;Identificatienummer vordering;
scorecard;Identificatienummer zekerheid;Identification number securities;Identificatienummer zekerheid;
scorecard;Immateriële vaste activa;Intangible assets;Immateriële vaste activa;
scorecard;Immateriële vaste activa [titel];Intangible assets [title];Immateriële vaste activa [titel];
scorecard;Immateriële vaste activa, begin van de periode;Intangible assets, start of the period;Immateriële vaste activa, begin van de periode;
scorecard;Immateriële vaste activa, beperkte eigendomsrechten;Intangible assets, limited ownership;Immateriële vaste activa, beperkte eigendomsrechten;
scorecard;Immateriële vaste activa, einde van de periode;Intangible assets, end of the period;Immateriële vaste activa, einde van de periode;
scorecard;Immateriële vaste activa, grondslag;Intangible assets, policy;Immateriële vaste activa, grondslag;
scorecard;Immateriële vaste activa, toelichting;Intangible assets, disclosure;Immateriële vaste activa, toelichting;
scorecard;Immateriële vaste activa, toelichting [titel];Intangible assets, disclosure [title];Immateriële vaste activa, toelichting [titel];
scorecard;Immateriële vaste activa, totaal;Intangible assets, total;Immateriële vaste activa, totaal;
scorecard;Indicatie achtergestelde schuld familie, vrienden of anderen J/N;Family, friends and others subordinated loans indicator Y/N;Indicatie achtergestelde schuld familie, vrienden of anderen J/N;
scorecard;Indicatie achterstelling vordering J/N;Subordination receivables indicator;Indicatie achterstelling vordering J/N;
scorecard;Indicatie familie of vrienden J/N;Family and friends indicator Y/N;Indicatie familie of vrienden J/N;
scorecard;Indicatie familie, vrienden of anderen J/N;Family, friends and others indicator Y/N;Indicatie familie, vrienden of anderen J/N;
scorecard;Indicatie schuld familie of vrienden J/N;Family and friends subordinated loans indicator Y/N;Indicatie schuld familie of vrienden J/N;
scorecard;Informatie met betrekking tot de continuïteit;Going concern;Informatie met betrekking tot de continuïteit;
scorecard;Informatie met betrekking tot de continuïteit [titel];Going concern [title];Informatie met betrekking tot de continuïteit [titel];
scorecard;Informatie met betrekking tot de onderneming;Entity information;Informatie met betrekking tot de onderneming;
scorecard;Informatie over de rapportage;Document information;Informatie over de rapportage;
scorecard;Informatie over de rapportage [titel];Document information [title];Informatie over de rapportage [titel];
scorecard;Informatie over de rechtspersoon [titel];Entity information [title];Informatie over de rechtspersoon [titel];
scorecard;Inkoopkosten activiteit;Purchase costs operation;Inkoopkosten activiteit;
scorecard;Inkoopkosten bloembollen handel;Purchase costs bulbs for sale;Inkoopkosten bloembollen handel;
scorecard;Inkoopkosten planten handel;Purchase costs potted plants sale;Inkoopkosten planten handel;
scorecard;Inkoopkosten planten opkweek;Purchase costs potted plants propagation;Inkoopkosten planten opkweek;
scorecard;Inkoopkosten potgrond;Purchase costs potting soil;Inkoopkosten potgrond;
scorecard;Inkoopkosten potten;Purchase costs pots;Inkoopkosten potten;
scorecard;Inschrijfnummer KvK;Registration chamber of commerce;Inschrijfnummer KvK;
scorecard;Inschrijfnummer KvK, bestuurders;Managing directors registration chamber of commerce;Inschrijfnummer KvK, bestuurders;
scorecard;Intercompany handelsdebiteuren;Trade receivables intercompany;Intercompany handelsdebiteuren;
scorecard;Intermediair;Intermediary title;Intermediair;
scorecard;Inventaris;Fixtures and fittings;Inventaris;
scorecard;Investeringen in materiële vaste activa;Purchase of property, plant and equipment;Investeringen in materiële vaste activa;
scorecard;Inzet- vang- en laadkosten;Emptying catch loading costs;Inzet- vang- en laadkosten;
scorecard;Jaarrekening vastgesteld (J/N);Financial statements adopted (Y/N);Jaarrekening vastgesteld (J/N);
scorecard;Jaarrekening vastgesteld J/N;Financial statements adopted Y/N;Jaarrekening vastgesteld J/N;
scorecard;Jaarverplichting operationele leasecontract;Obligatory lease contract yearly;Jaarverplichting operationele leasecontract;
scorecard;K.I./Fokkerijkosten;Breeding costs;K.I./Fokkerijkosten;
scorecard;Kantoorkosten;Office related expenses;Kantoorkosten;
scorecard;Kas;Cash;Kas;
scorecard;Kasmiddelen;Cash in hand;Kasmiddelen;
scorecard;Kortlopend deel van langlopende schulden aan groepsmaatschappijen;Short term part long term payables group companies;Kortlopend deel van langlopende schulden aan groepsmaatschappijen;
scorecard;Kortlopend deel van langlopende schulden aan kredietinstellingen;Short term part long term payables credit institutions;Kortlopend deel van langlopende schulden aan kredietinstellingen;
scorecard;Kortlopend deel van langlopende schulden aan overige verbonden maatschappijen;Short term part long term payables other related parties non current;Kortlopend deel van langlopende schulden aan overige verbonden maatschappijen;
scorecard;Kortlopend deel van langlopende schulden aan participanten en maatschappijen waarin wordt deelgenomen;Short term part long term payables shareholders and participating interests non current;Kortlopend deel van langlopende schulden aan participanten en maatschappijen waarin wordt deelgenomen;
scorecard;Kortlopende schulden (ten hoogste 1 jaar);Current liabilities (up to one year);Kortlopende schulden (ten hoogste 1 jaar);
scorecard;Kortlopende schulden (ten hoogste 1 jaar) en overlopende passiva;Accruals deferred income current title;Kortlopende schulden (ten hoogste 1 jaar) en overlopende passiva;
scorecard;Kortlopende schulden (ten hoogste 1 jaar), grondslag;Current liabilities (up to one year), policy;Kortlopende schulden (ten hoogste 1 jaar), grondslag;
scorecard;Kortlopende schulden (ten hoogste 1 jaar), toelichting;Current liabilities (up to one year), disclosure;Kortlopende schulden (ten hoogste 1 jaar), toelichting;
scorecard;Kortlopende schulden en overlopende passiva;Current liabilities;Kortlopende schulden en overlopende passiva;
scorecard;Kortlopende schulden en overlopende passiva, toelichting;Liabilities accruals and deferred current, disclosure;Kortlopende schulden en overlopende passiva, toelichting;
scorecard;Kortlopende schulden en overlopende passiva, toelichting;Liabilities accruals current title;Kortlopende schulden en overlopende passiva, toelichting;
scorecard;Kortlopende schulden, grondslag;Current liabilities, policy;Kortlopende schulden, grondslag;
scorecard;Kortlopende schulden, toelichting;Current liabilities, disclosure;Kortlopende schulden, toelichting;
scorecard;Kortlopende schulden, totaal;Current liabilities, total;Kortlopende schulden, totaal;
scorecard;Kosten die verband houden met de oprichting en met de uitgifte van aandelen;Costs relating to the incorporation and issuance of shares;Kosten die verband houden met de oprichting en met de uitgifte van aandelen;
scorecard;Kosten onderzoek en ontwikkeling;Expenses research and development;Kosten onderzoek en ontwikkeling;
scorecard;Kosten uitbesteed werk en andere externe kosten;Cost of outsourced work and other external expenses;Kosten uitbesteed werk en andere externe kosten;
scorecard;Kosten uitbesteed werk en andere externe kosten;Costs outsourced work and other external expenses title;Kosten uitbesteed werk en andere externe kosten;
scorecard;Kosten van goodwill;Goodwill costs;Kosten van goodwill;
scorecard;Kosten van grond- en hulpstoffen;Costs of raw materials and consumables;Kosten van grond- en hulpstoffen;
scorecard;Kosten van onderzoek en ontwikkeling;Research and development costs;Kosten van onderzoek en ontwikkeling;
scorecard;Kosten van oprichting en van uitgifte van aandelen;Costs of incorporation and share issue;Kosten van oprichting en van uitgifte van aandelen;
scorecard;Kosten van verwerving ter zake van concessies, vergunningen en rechten van intellectuele eigendom;Costs of acquisition of patents, trademarks and other rights;Kosten van verwerving ter zake van concessies, vergunningen en rechten van intellectuele eigendom;
scorecard;Kostprijs omzet activiteit;Cost price turnover operation;Kostprijs omzet activiteit;
scorecard;Kostprijs van de omzet;Cost of sales;Kostprijs van de omzet;
scorecard;Krachtvoerkosten;Concentrates costs;Krachtvoerkosten;
scorecard;Kredietcode;Credit code;Kredietcode;
scorecard;Kredietrapportage kleine organisatie, commerciële grondslag;Creditreport small business, commercial base;Kredietrapportage kleine organisatie, commerciële grondslag;
scorecard;Kredietrapportage kleine organisatie, fiscale grondslag, functioneel;Creditreport small business, fiscal base, functional;Kredietrapportage kleine organisatie, fiscale grondslag, functioneel;
scorecard;Kwalificatie intermediair;Qualification intermediary;Kwalificatie intermediair;
scorecard;Land- en tuinbouw;Agriculture specification;Land- en tuinbouw;
scorecard;Land- en tuinbouwtype;Agriculture type;Land- en tuinbouwtype;
scorecard;Landbouwgrond in eigendom;Utilised agricultural area own property;Landbouwgrond in eigendom;
scorecard;Landbouwgrond van derden;Utilised agricultural area third parties;Landbouwgrond van derden;
scorecard;Landnaam;Country name;Landnaam;
scorecard;Landnaam, ISO;Country name, ISO;Landnaam, ISO;
scorecard;Langlopende schulden;Non-current liabilities;Langlopende schulden;
scorecard;Langlopende schulden (nog voor meer dan een jaar);Non-current liabilities (exceeding one year);Langlopende schulden (nog voor meer dan een jaar);
scorecard;Langlopende schulden (nog voor meer dan een jaar), grondslag;Non-current liabilities (exceeding one year), policy;Langlopende schulden (nog voor meer dan een jaar), grondslag;
scorecard;Langlopende schulden (nog voor meer dan een jaar), toelichting;Non-current liabilities (exceeding one year), disclosure;Langlopende schulden (nog voor meer dan een jaar), toelichting;
scorecard;Langlopende schulden [titel];Non-current liabilities [title];Langlopende schulden [titel];
scorecard;Langlopende schulden, grondslag;Non-current liabilities, policy;Langlopende schulden, grondslag;
scorecard;Langlopende schulden, toelichting;Non-current liabilities, disclosure;Langlopende schulden, toelichting;
scorecard;Langlopende schulden, totaal;Non-current liabilities, total;Langlopende schulden, totaal;
scorecard;Latente belastingvorderingen;Deferred tax assets;Latente belastingvorderingen;
scorecard;Latente belastingvorderingen (kortlopend);Deferred tax assets (current);Latente belastingvorderingen (kortlopend);
scorecard;Leasekosten productierechten;Production rights lease costs;Leasekosten productierechten;
scorecard;Leasekosten WKK;WKK lease costs;Leasekosten WKK;
scorecard;Leningen, voorschotten en garantie ten behoeve van bestuurders en commissarissen, toelichting;Loans, advances and guarantees on behalf of managing and supervisory directors, disclosure;Leningen, voorschotten en garantie ten behoeve van bestuurders en commissarissen, toelichting;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen [specificatie];Loans, advances and guarantees on behalf of directors [specification];Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen [specificatie];
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, aflossing gedurende de periode;Loans, advances and guarantees on behalf of directors, repayments during the period;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, aflossing gedurende de periode;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, aflossing gedurende de periode;Loans, advances and guarantees on behalf of managing and supervisory directors, repayments during the period;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, aflossing gedurende de periode;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, belangrijke bepalingen;Loans, advances and guarantees on behalf of directors, significant conditions;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, belangrijke bepalingen;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, openstaand bedrag;Loans, advances and guarantees on behalf of directors, outstanding amount;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, openstaand bedrag;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, openstaand bedrag;Loans, advances and guarantees on behalf of managing and supervisory directors, outstanding amount;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, openstaand bedrag;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, rentevoet;Loans, advances and guarantees on behalf of directors, interest rate;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, rentevoet;
scorecard;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, rentevoet;Loans, advances and guarantees on behalf of managing and supervisory directors, interest rate;Leningen, voorschotten en garanties ten behoeve van bestuurders en commissarissen, rentevoet;
